fold,precision,recall,threshold
1,0.10695900857959961,1.0,1.1413742277488858e-10
1,0.10697940503432495,1.0,1.33049895029147e-10
1,0.1069998092695022,1.0,2.40756173623673e-10
1,0.10702022128958413,1.0,3.5618538693673784e-10
1,0.1070406410990269,1.0,4.320068476809307e-10
1,0.10706106870229008,1.0,4.426024789854161e-10
1,0.10708150410383661,1.0,4.772628065006565e-10
1,0.10710194730813287,1.0,4.940902775336239e-10
1,0.10712239831964865,1.0,5.195536523145525e-10
1,0.10714285714285714,1.0,5.918260659112582e-10
1,0.10716332378223496,1.0,6.046745348583036e-10
1,0.10718379824226214,1.0,6.448948986369708e-10
1,0.10720428052742213,1.0,6.655363908736762e-10
1,0.10722477064220183,1.0,6.891830138244285e-10
1,0.10724526859109157,1.0,7.373858707862438e-10
1,0.10726577437858509,1.0,7.530975630163671e-10
1,0.10728628800917958,1.0,7.533405360497886e-10
1,0.10730680948737567,1.0,7.903348866272573e-10
1,0.10732733881767745,1.0,7.970308372850981e-10
1,0.10734787600459242,1.0,8.552112554803845e-10
1,0.10736842105263159,1.0,8.663065186204697e-10
1,0.10738897396630934,1.0,8.693936164416641e-10
1,0.1074095347501436,1.0,8.816266686190052e-10
1,0.10743010340865569,1.0,8.838211425635492e-10
1,0.10745067994637043,1.0,9.146304518303958e-10
1,0.1074712643678161,1.0,9.199750100095158e-10
1,0.10749185667752444,1.0,9.462289957112905e-10
1,0.10751245688003067,1.0,9.895475890672027e-10
1,0.10753306497987349,1.0,1.0754255231324275e-09
1,0.1075536809815951,1.0,1.0871237755356344e-09
1,0.10757430488974114,1.0,1.088788749550273e-09
1,0.10759493670886076,1.0,1.0908328798702737e-09
1,0.10761557644350662,1.0,1.1078996753015317e-09
1,0.10763622409823484,1.0,1.140157183090223e-09
1,0.10765687967760507,1.0,1.1518429790473165e-09
1,0.10767754318618042,1.0,1.2177589471471368e-09
1,0.10769821462852755,1.0,1.2348323506109344e-09
1,0.1077188940092166,1.0,1.3251995650294383e-09
1,0.1077395813328212,1.0,1.3285028096763753e-09
1,0.10776027660391856,1.0,1.3349227247253182e-09
1,0.10778097982708934,1.0,1.3477643909508526e-09
1,0.10780169100691775,1.0,1.3546219731194152e-09
1,0.10782241014799154,1.0,1.3770934422111707e-09
1,0.10784313725490197,1.0,1.4289516029066246e-09
1,0.1078638723322438,1.0,1.4392282443961593e-09
1,0.10788461538461538,1.0,1.4664976277264734e-09
1,0.10790536641661858,1.0,1.5360217561038633e-09
1,0.10792612543285879,1.0,1.5903146587376446e-09
1,0.10794689243794497,1.0,1.6056096946442095e-09
1,0.10796766743648961,1.0,1.6305465161854919e-09
1,0.10798845043310876,1.0,1.6858932811555533e-09
1,0.10800924143242202,1.0,1.7481940690184851e-09
1,0.10803004043905257,1.0,1.8294246565305824e-09
1,0.10805084745762712,1.0,1.9279206928773458e-09
1,0.10807166249277596,1.0,1.9705846036049328e-09
1,0.10809248554913295,1.0,1.9830659384815867e-09
1,0.10811331663133551,1.0,1.9956468913683336e-09
1,0.10813415574402467,1.0,2.0071002099701505e-09
1,0.108155002891845,1.0,2.0397259631477355e-09
1,0.10817585807944466,1.0,2.072387101439163e-09
1,0.10819672131147541,1.0,2.0958882845651458e-09
1,0.10821759259259259,1.0,2.102069737575839e-09
1,0.10823847192745514,1.0,2.140590849702995e-09
1,0.10825935932072558,1.0,2.1720563448648414e-09
1,0.10828025477707007,1.0,2.1748467442951574e-09
1,0.1083011583011583,1.0,2.2199254821259434e-09
1,0.10832206989766364,1.0,2.245723702614805e-09
1,0.10834298957126304,1.0,2.3008271193097403e-09
1,0.10836391732663705,1.0,2.3495902572363737e-09
1,0.10838485316846987,1.0,2.3627044016766106e-09
1,0.10840579710144928,1.0,2.378990201252262e-09
1,0.10842674913026672,1.0,2.3860873984776233e-09
1,0.10844770925961725,1.0,2.41039320814569e-09
1,0.10846867749419954,1.0,2.4392364474616483e-09
1,0.10848965383871592,1.0,2.447708768879585e-09
1,0.10851063829787234,1.0,2.4587597663017473e-09
