FBtr0475186.1	367	
FBtr0475186	367	
FBtr0475186.2	10	
FBti0060580-RA.1.	1	
FBti0060580-RA.FlyBase.	1	
FBti0059812-RA.1.	3	
FBti0059812-RA.FlyBase.	3	
FBti0019092-RA.1.	449	
FBti0019092-RA.FlyBase.	449	
FBti0059816-RA.1.	19	
FBti0059816-RA.FlyBase.	19	
FBti0059818-RA.1.	3	
FBti0059818-RA.FlyBase.	3	
FBti0019093-RA.1.	2	
FBti0019093-RA.FlyBase.	2	
FBtr0306539.1	9017	
FBtr0306539	9017	
FBtr0306539.2	196	
FBtr0306538.1	18340	
FBtr0306537.1	18340	
FBtr0078100.1	18340	
FBtr0306536.1	18340	
FBtr0306536	18340	
FBtr0306538	18340	
FBtr0078100	18340	
FBtr0306537	18340	
FBtr0306537.2	8950	
FBtr0306538.2	8950	
FBtr0306539.3	8950	
FBtr0078100.2	5920	
FBtr0306536.2	5920	
FBtr0306537.3	5920	
FBtr0306538.3	5920	
FBtr0306539.4	5920	
FBtr0078100.3	31	
FBtr0306536.3	31	
FBtr0306537.4	31	
FBtr0306538.4	31	
FBtr0306539.5	31	
FBtr0078100.4	17	
FBtr0306536.4	17	
FBtr0306537.5	17	
FBtr0306538.5	17	
FBtr0306539.6	17	
FBtr0306536.5	36	
FBtr0306538.6	36	
FBtr0078100.5	36	
FBtr0306537.6	36	
FBtr0306539.7	36	
FBtr0306540.1	23048	
FBtr0306540	23048	
FBtr0306540.2	7	
FBtr0078101.1	1762	
FBtr0078101	1762	
FBtr0302164.1	3516	
FBtr0331680.1	3516	
FBtr0302164	3516	
FBtr0331680	3516	
FBtr0331680.2	210	
FBtr0301733.1	1588	
FBtr0301733	1588	
FBtr0078101.2	106	
FBtr0301733.2	106	
FBtr0302164.2	106	
FBtr0306540.3	106	
FBtr0331680.3	106	
FBtr0078101.3	15	
FBtr0301733.3	15	
FBtr0302164.3	15	
FBtr0306540.4	15	
FBtr0331680.4	15	
FBtr0306541.1	75	
FBtr0306541	75	
FBtr0306541.2	2	
FBtr0078103.1	24362	
FBtr0078103	24362	
FBtr0078103.2	289	
FBtr0078103.3	23	
FBtr0078103.4	221	
FBtr0078103.5	9	
FBtr0078103.6	14	
FBtr0078103.7	15	
FBtr0078103.8	44	
FBtr0078103.9	10	
FBtr0078103.10	7	
FBtr0078103.11	5	
FBtr0078103.12	25	
FBtr0078104.1	28369	
FBtr0330636.1	28369	
FBtr0078104	28369	
FBtr0330636	28369	
FBtr0078104.2	15	
FBtr0330636.2	15	
FBtr0078104.3	9	
FBtr0330636.3	8	
FBtr0089437.1	69	
FBtr0089437	69	
FBtr0089428.1	55631	
FBtr0089429.1	55631	
FBtr0308091.1	55631	
FBtr0330656.1	55631	
FBtr0308091	55631	
FBtr0089428	55631	
FBtr0089429	55631	
FBtr0330656	55631	
FBtr0089437.2	55631	
FBtr0089430.1	99999	
FBtr0089431.1	99999	
FBtr0089432.1	99999	
FBtr0089432	99999	
FBtr0089430	99999	
FBtr0089431	99999	
FBtr0089433.1	99999	
FBtr0089433	99999	
FBtr0089435.1	99999	
FBtr0089434.1	99999	
FBtr0089434	99999	
FBtr0089435	99999	
FBtr0089428.2	3390	
FBtr0089429.2	3390	
FBtr0089430.2	3390	
FBtr0089431.2	3390	
FBtr0089432.2	3390	
FBtr0089433.2	3390	
FBtr0089434.2	3390	
FBtr0089435.2	3390	
FBtr0089437.3	3390	
FBtr0308091.2	3390	
FBtr0330656.2	3390	
FBtr0089436.1	514	
FBtr0089436	514	
FBtr0089428.3	171	
FBtr0089429.3	171	
FBtr0089430.3	171	
FBtr0089431.3	171	
FBtr0089432.3	171	
FBtr0089433.3	171	
FBtr0089434.3	171	
FBtr0089435.3	171	
FBtr0089436.2	171	
FBtr0089437.4	171	
FBtr0308091.3	171	
FBtr0330656.3	171	
FBtr0089428.4	255	
FBtr0089429.4	255	
FBtr0089430.4	255	
FBtr0089431.4	255	
FBtr0089432.4	255	
FBtr0089433.4	255	
FBtr0089434.4	255	
FBtr0089435.4	255	
FBtr0089436.3	255	
FBtr0089437.5	255	
FBtr0330656.4	255	
FBtr0308091.4	255	
FBtr0089428.5	106	
FBtr0089431.5	106	
FBtr0089435.5	106	
FBtr0089436.4	106	
FBtr0089428.6	69	
FBtr0089429.5	69	
FBtr0089430.5	69	
FBtr0089432.5	69	
FBtr0089433.5	69	
FBtr0089434.5	69	
FBtr0089437.6	69	
FBtr0089428.7	72	
FBtr0089429.6	72	
FBtr0089430.6	72	
FBtr0089431.6	72	
