,prec_kf_1,prec_kf_2,prec_kf_3,prec_kf_4,prec_kf_5,mean_precision,rec_kf_1,rec_kf_2,rec_kf_3,rec_kf_4,rec_kf_5,mean_recall
53,0.20961,0.20003,0.20438,0.19606,0.22264,0.1344,0.94245,0.9534,0.94672,0.93767,0.91328,0.96986
54,0.20966,0.20011,0.20441,0.19623,0.25135,0.13439,0.94245,0.9534,0.94672,0.93767,0.90127,0.9696
55,0.20981,0.23126,0.20443,0.19625,0.2514,0.13439,0.94245,0.94075,0.94672,0.93767,0.90127,0.9696
56,0.2097,0.2313,0.20463,0.19639,0.25116,0.1344,0.94183,0.94075,0.94672,0.93767,0.89993,0.9696
57,0.23991,0.23145,0.20466,0.19642,0.25126,0.1344,0.91955,0.94075,0.94672,0.93767,0.89993,0.9696
58,0.23995,0.23149,0.20475,0.19647,0.2513,0.1344,0.91955,0.94075,0.94672,0.93767,0.89993,0.9696
59,0.24006,0.23153,0.20478,0.19677,0.25173,0.13442,0.91955,0.94075,0.94672,0.93767,0.89993,0.9696
60,0.24014,0.23156,0.20481,0.1968,0.25182,0.13442,0.91955,0.94075,0.94672,0.93767,0.89993,0.9696
61,0.24018,0.23187,0.23575,0.19683,0.25201,0.13443,0.91955,0.94075,0.93502,0.93767,0.89993,0.9696
62,0.24026,0.23191,0.23579,0.19699,0.27579,0.16775,0.91955,0.94075,0.93502,0.93767,0.88459,0.95485
63,0.24038,0.23198,0.2359,0.22592,0.27585,0.16773,0.91955,0.94075,0.93502,0.92706,0.88459,0.95472
64,0.24041,0.2321,0.23594,0.22596,0.27613,0.16774,0.91955,0.94075,0.93502,0.92706,0.88459,0.95472
65,0.26955,0.23213,0.23598,0.22599,0.27625,0.16774,0.90656,0.94075,0.93502,0.92706,0.88459,0.95472
66,0.26965,0.23217,0.2361,0.22603,0.27654,0.16775,0.90656,0.94075,0.93502,0.92706,0.88459,0.95472
67,0.2697,0.23229,0.23613,0.2261,0.2766,0.16775,0.90656,0.94075,0.93502,0.92706,0.88459,0.95472
68,0.26975,0.23232,0.23621,0.22618,0.27662,0.16776,0.90656,0.94075,0.93502,0.92706,0.88392,0.95472
69,0.2698,0.23244,0.23625,0.22625,0.27668,0.16777,0.90656,0.94075,0.93502,0.92706,0.88392,0.95472
70,0.26985,0.26122,0.23624,0.22629,0.30172,0.16784,0.90656,0.9261,0.93437,0.92706,0.86791,0.95472
71,0.26995,0.26127,0.23628,0.22636,0.30179,0.16784,0.90656,0.9261,0.93437,0.92706,0.86791,0.95472
72,0.26998,0.26137,0.23632,0.22669,0.30183,0.16784,0.90532,0.9261,0.93437,0.92706,0.86724,0.95472
73,0.27013,0.26142,0.23636,0.22673,0.30219,0.16785,0.90532,0.9261,0.93437,0.92706,0.86724,0.95472
74,0.27023,0.26191,0.2364,0.22684,0.30226,0.16785,0.90532,0.9261,0.93437,0.92706,0.86724,0.95472
75,0.27048,0.26206,0.23644,0.22687,0.30233,0.16793,0.90532,0.9261,0.93437,0.92706,0.86724,0.95472
76,0.27053,0.26211,0.26594,0.22691,0.30268,0.16796,0.90532,0.9261,0.92398,0.92706,0.86724,0.95472
77,0.27058,0.26216,0.26599,0.22695,0.30275,0.16796,0.90532,0.9261,0.92398,0.92706,0.86724,0.95472
78,0.27073,0.26221,0.26604,0.22698,0.30289,0.16797,0.90532,0.9261,0.92398,0.92706,0.86724,0.95472
79,0.27078,0.26225,0.26609,0.22702,0.30296,0.16798,0.90532,0.9261,0.92398,0.92706,0.86724,0.95472
80,0.3006,0.2623,0.26614,0.25524,0.30303,0.16798,0.89233,0.9261,0.92398,0.91247,0.86724,0.95472
81,0.30067,0.28882,0.26619,0.25529,0.32771,0.16799,0.89233,0.91145,0.92398,0.91247,0.8559,0.95472
82,0.30052,0.28888,0.26624,0.25533,0.3278,0.16799,0.89171,0.91145,0.92398,0.91247,0.8559,0.95472
83,0.30058,0.28906,0.26634,0.25538,0.32805,0.16815,0.89171,0.91145,0.92398,0.91247,0.8559,0.95459
84,0.3009,0.28912,0.26639,0.25515,0.32855,0.16815,0.89171,0.91145,0.92398,0.91114,0.8559,0.95459
85,0.30096,0.28931,0.26659,0.2552,0.32864,0.16816,0.89171,0.91145,0.92398,0.91114,0.8559,0.95459
86,0.30102,0.28955,0.26664,0.2553,0.32881,0.16816,0.89171,0.91145,0.92398,0.91114,0.8559,0.95459
87,0.30109,0.28961,0.26679,0.25534,0.32897,0.16819,0.89171,0.91145,0.92398,0.91114,0.8559,0.95459
88,0.30115,0.28967,0.26684,0.25573,0.32906,0.16832,0.89171,0.91145,0.92398,0.91048,0.8559,0.95459
89,0.30121,0.28974,0.26689,0.25577,0.32914,0.16832,0.89171,0.91145,0.92398,0.91048,0.8559,0.95459
90,0.32747,0.31677,0.26694,0.25587,0.32923,0.16836,0.875,0.89547,0.92398,0.91048,0.8559,0.95459
91,0.32754,0.31692,0.29539,0.25597,0.35264,0.16839,0.875,0.89547,0.90708,0.91048,0.84056,0.95459
92,0.32762,0.31707,0.29545,0.25601,0.35274,0.16839,0.875,0.89547,0.90708,0.91048,0.84056,0.95459
93,0.32777,0.31729,0.29557,0.28505,0.35284,0.1684,0.875,0.89547,0.90708,0.89788,0.84056,0.95459
94,0.3283,0.31737,0.2957,0.28511,0.35304,0.1684,0.875,0.89547,0.90708,0.89788,0.84056,0.95459
95,0.32838,0.31744,0.29576,0.28517,0.35344,0.16841,0.875,0.89547,0.90708,0.89788,0.84056,0.95459
96,0.32838,0.31758,0.29583,0.28523,0.35363,0.20019,0.87438,0.89481,0.90708,0.89788,0.84056,0.94233
97,0.3286,0.31788,0.29589,0.28529,0.35345,0.20019,0.87438,0.89481,0.90708,0.89788,0.83989,0.94233
98,0.32883,0.31779,0.29645,0.28535,0.3811,0.2002,0.87438,0.89414,0.90708,0.89788,0.82855,0.94233
99,0.32891,0.31795,0.29652,0.28553,0.38122,0.20018,0.87438,0.89414,0.90708,0.89788,0.82855,0.9422
100,0.35751,0.31802,0.29664,0.28565,0.38133,0.20019,0.86324,0.89414,0.90708,0.89788,0.82855,0.9422
101,0.3576,0.3448,0.29689,0.28571,0.38114,0.2002,0.86324,0.88083,0.90708,0.89788,0.82789,0.9422
102,0.35769,0.34489,0.29708,0.28583,0.38149,0.20023,0.86324,0.88083,0.90708,0.89788,0.82789,0.94207
103,0.35788,0.34498,0.29715,0.2859,0.38161,0.20023,0.86324,0.88083,0.90708,0.89788,0.82789,0.94207
104,0.35797,0.34507,0.29721,0.28596,0.38185,0.20033,0.86324,0.88083,0.90708,0.89788,0.82789,0.94207
105,0.35806,0.34517,0.32583,0.31517,0.38196,0.20036,0.86324,0.88016,0.89344,0.88196,0.82789,0.94207
106,0.35861,0.34535,0.32591,0.31524,0.40645,0.20037,0.86324,0.88016,0.89344,0.88196,0.81588,0.94207
107,0.3587,0.34544,0.32598,0.31554,0.40658,0.20038,0.86324,0.88016,0.89344,0.88196,0.81588,0.94207
108,0.3588,0.34562,0.32606,0.31561,0.40639,0.20039,0.86324,0.88016,0.89344,0.88196,0.81521,0.94207
109,0.35917,0.34571,0.32629,0.31599,0.40652,0.20039,0.86324,0.88016,0.89344,0.88196,0.81521,0.94207
110,0.35926,0.34589,0.32637,0.31606,0.40666,0.20063,0.86324,0.88016,0.89344,0.88196,0.81521,0.94207
111,0.38606,0.34607,0.32645,0.31614,0.40679,0.20063,0.85025,0.88016,0.89344,0.88196,0.81521,0.94207
112,0.38617,0.37429,0.32653,0.31637,0.40693,0.20064,0.85025,0.87217,0.89344,0.88196,0.81521,0.94207
113,0.38628,0.37439,0.32668,0.31659,0.40706,0.20066,0.85025,0.87217,0.89344,0.88196,0.81521,0.94207
114,0.38682,0.37421,0.32699,0.31667,0.4072,0.20066,0.85025,0.8715,0.89344,0.88196,0.81521,0.94207
115,0.38693,0.37432,0.35293,0.31674,0.42756,0.20067,0.85025,0.8715,0.87784,0.88196,0.8052,0.94207
116,0.38726,0.37436,0.35302,0.31658,0.42786,0.20077,0.85025,0.87084,0.87784,0.8813,0.8052,0.94194
117,0.38737,0.37468,0.3532,0.34568,0.42801,0.20079,0.85025,0.87084,0.87784,0.86671,0.8052,0.94194
118,0.41418,0.37479,0.35329,0.34577,0.42817,0.2008,0.8422,0.87084,0.87784,0.86671,0.8052,0.94194
119,0.41431,0.37489,0.35339,0.34586,0.42832,0.20083,0.8422,0.87084,0.87784,0.86671,0.8052,0.94194
120,0.41443,0.40012,0.35366,0.34595,0.42847,0.20083,0.8422,0.86019,0.87784,0.86671,0.8052,0.94194
121,0.41426,0.40025,0.3535,0.34604,0.42862,0.20083,0.84158,0.86019,0.87719,0.86671,0.8052,0.94181
122,0.41451,0.40037,0.38016,0.34587,0.45071,0.20085,0.84158,0.86019,0.8616,0.86605,0.7992,0.94181
123,0.41463,0.4005,0.38049,0.34596,0.45088,0.20083,0.84158,0.86019,0.8616,0.86605,0.7992,0.94168
124,0.41489,0.40062,0.38071,0.34605,0.45105,0.23101,0.84158,0.86019,0.8616,0.86605,0.7992,0.92719
125,0.43803,0.40074,0.38082,0.34624,0.45122,0.23101,0.83106,0.86019,0.8616,0.86605,0.7992,0.92719
126,0.43817,0.40056,0.38114,0.34633,0.45139,0.23102,0.83106,0.85952,0.8616,0.86605,0.7992,0.92719
127,0.43832,0.40037,0.4032,0.34642,0.45156,0.23103,0.83106,0.85885,0.8512,0.86605,0.7992,0.92719
128,0.4386,0.40062,0.40357,0.3466,0.47542,0.23104,0.83106,0.85885,0.8512,0.86605,0.78719,0.92719
129,0.43875,0.40075,0.4037,0.37279,0.47561,0.23104,0.83106,0.85885,0.8512,0.85411,0.78719,0.92719
130,0.43889,0.40112,0.40382,0.3729,0.47581,0.23105,0.83106,0.85885,0.8512,0.85411,0.78719,0.92719
131,0.43903,0.40124,0.40407,0.37301,0.47579,0.23108,0.83106,0.85885,0.8512,0.85411,0.78652,0.92719
132,0.46199,0.42608,0.4042,0.37312,0.49787,0.2311,0.81993,0.84621,0.8512,0.85411,0.77919,0.92719
133,0.46216,0.42622,0.40432,0.37355,0.49808,0.23111,0.81993,0.84621,0.8512,0.85411,0.77919,0.92719
134,0.46232,0.42632,0.40445,0.37366,0.49829,0.23112,0.81993,0.84554,0.8512,0.85411,0.77919,0.92719
135,0.46248,0.42646,0.42762,0.37388,0.5205,0.23118,0.81993,0.84554,0.83496,0.85411,0.77051,0.92719
136,0.4628,0.4266,0.42791,0.37398,0.52074,0.23124,0.81993,0.84554,0.83496,0.85411,0.77051,0.92719
137,0.46296,0.453,0.42805,0.37409,0.52121,0.23125,0.81993,0.83422,0.83496,0.85411,0.77051,0.92719
138,0.46312,0.45316,0.42819,0.40127,0.52144,0.23128,0.81993,0.83422,0.83496,0.83687,0.77051,0.92719
139,0.46329,0.45333,0.42814,0.4014,0.52168,0.2313,0.81993,0.83422,0.83431,0.83687,0.77051,0.92719
140,0.48685,0.45395,0.42829,0.40153,0.53922,0.23132,0.81312,0.83356,0.83431,0.83687,0.76117,0.92719
141,0.48703,0.45412,0.42843,0.40165,0.53948,0.23151,0.81312,0.83356,0.83431,0.83687,0.76117,0.92706
142,0.48721,0.45428,0.44934,0.40217,0.53974,0.23152,0.81312,0.83356,0.82131,0.83687,0.76117,0.92706
143,0.48739,0.45445,0.4495,0.40242,0.53999,0.23156,0.81312,0.83356,0.82131,0.83687,0.76117,0.92706
144,0.48775,0.45478,0.44931,0.40255,0.54025,0.23157,0.81312,0.83356,0.82066,0.83687,0.76117,0.92706
145,0.48793,0.477,0.44963,0.40268,0.56241,0.23158,0.81312,0.82157,0.82066,0.83687,0.7545,0.92706
146,0.48774,0.4768,0.44979,0.42784,0.56269,0.23164,0.8125,0.82091,0.82066,0.82759,0.7545,0.92693
147,0.48792,0.47717,0.45011,0.42798,0.56297,0.23166,0.8125,0.82091,0.82066,0.82759,0.7545,0.92693
148,0.4881,0.47735,0.46903,0.42842,0.57859,0.23166,0.8125,0.82091,0.80702,0.82759,0.7465,0.92693
149,0.51158,0.47791,0.46921,0.42857,0.57889,0.23168,0.80631,0.82091,0.80702,0.82759,0.7465,0.92693
150,0.51178,0.47809,0.46901,0.4496,0.57919,0.23169,0.80631,0.82091,0.80637,0.81631,0.7465,0.92693
151,0.51159,0.5033,0.46936,0.44976,0.5971,0.2317,0.80569,0.81292,0.80637,0.81631,0.74049,0.92693
152,0.5124,0.50351,0.46972,0.44993,0.59742,0.23173,0.80569,0.81292,0.80637,0.81631,0.74049,0.92693
153,0.5126,0.50371,0.4699,0.45009,0.59774,0.23174,0.80569,0.81292,0.80637,0.81631,0.74049,0.92693
154,0.5357,0.50413,0.47008,0.45026,0.61176,0.23175,0.79394,0.81292,0.80637,0.81631,0.73582,0.92693
155,0.53592,0.50434,0.47025,0.45042,0.61244,0.23176,0.79394,0.81292,0.80637,0.81631,0.73582,0.92693
156,0.53615,0.5245,0.47043,0.45075,0.63025,0.23176,0.79394,0.79827,0.80637,0.81631,0.73115,0.92693
157,0.5366,0.52473,0.49476,0.47075,0.63061,0.23179,0.79394,0.79827,0.79792,0.8057,0.73115,0.92693
158,0.53682,0.52496,0.49496,0.47054,0.63097,0.26067,0.79394,0.79827,0.79792,0.80504,0.73115,0.91401
159,0.5597,0.52565,0.49556,0.47034,0.65267,0.26068,0.78032,0.79827,0.79792,0.80438,0.72582,0.91401
160,0.56,0.54529,0.49576,0.47052,0.65306,0.2607,0.7797,0.78961,0.79792,0.80438,0.72582,0.91401
161,0.56025,0.54554,0.49616,0.4707,0.65345,0.26071,0.7797,0.78961,0.79792,0.80438,0.72582,0.91401
162,0.56005,0.56818,0.49636,0.47089,0.65385,0.26072,0.77908,0.78229,0.79792,0.80438,0.72582,0.91401
163,0.5603,0.56846,0.49656,0.4908,0.65463,0.26074,0.77908,0.78229,0.79792,0.79576,0.72582,0.91401
164,0.56055,0.56873,0.49676,0.491,0.66977,0.26077,0.77908,0.78229,0.79792,0.79576,0.71981,0.91401
165,0.58704,0.56901,0.49656,0.4912,0.67019,0.26074,0.76795,0.78229,0.79727,0.79576,0.71981,0.91375
166,0.58684,0.5688,0.51425,0.49118,0.66998,0.26074,0.76733,0.78162,0.78558,0.79443,0.71915,0.91349
167,0.58712,0.56907,0.51447,0.49139,0.6704,0.26075,0.76733,0.78162,0.78558,0.79443,0.71915,0.91349
168,0.58693,0.56935,0.51469,0.51447,0.68414,0.26076,0.76671,0.78162,0.78558,0.78979,0.70514,0.91349
169,0.58748,0.59012,0.51513,0.51492,0.68459,0.2608,0.76671,0.77164,0.78558,0.78979,0.70514,0.91349
170,0.60496,0.59072,0.51514,0.51539,0.68438,0.26083,0.75433,0.77164,0.78493,0.78846,0.70447,0.91349
171,0.60526,0.59102,0.51536,0.51518,0.70147,0.26088,0.75433,0.77164,0.78493,0.7878,0.69913,0.91349
172,0.60507,0.59133,0.51558,0.51585,0.70241,0.26089,0.75371,0.77164,0.78493,0.7878,0.69913,0.91349
173,0.60537,0.59193,0.5158,0.51607,0.70288,0.2612,0.75371,0.77164,0.78493,0.7878,0.69913,0.9131
174,0.61866,0.59223,0.51602,0.5163,0.71331,0.26129,0.74691,0.77164,0.78493,0.7878,0.6938,0.9131
175,0.61897,0.61349,0.53309,0.51652,0.7138,0.26136,0.74691,0.76298,0.77453,0.7878,0.6938,0.9131
176,0.61929,0.61415,0.53333,0.53203,0.71478,0.26143,0.74691,0.76298,0.77453,0.77653,0.6938,0.9131
177,0.61961,0.61481,0.53315,0.53276,0.72078,0.26144,0.74691,0.76298,0.77323,0.77653,0.68712,0.9131
178,0.61941,0.61514,0.53339,0.533,0.72129,0.26145,0.74629,0.76298,0.77323,0.77653,0.68712,0.9131
179,0.6383,0.63033,0.53297,0.53324,0.72179,0.26154,0.74257,0.75832,0.77193,0.77653,0.68712,0.9131
180,0.63864,0.63068,0.53321,0.53349,0.73597,0.26157,0.74257,0.75832,0.77193,0.77653,0.68245,0.9131
181,0.63898,0.63102,0.53345,0.55371,0.7489,0.26158,0.74257,0.75832,0.77193,0.77255,0.67845,0.9131
182,0.63879,0.64963,0.54935,0.55423,0.74853,0.26159,0.74196,0.753,0.76673,0.77255,0.67712,0.9131
183,0.63913,0.64943,0.5496,0.5545,0.74908,0.2616,0.74196,0.75233,0.76673,0.77255,0.67712,0.9131
184,0.63981,0.6498,0.55037,0.55476,0.76328,0.26161,0.74196,0.75233,0.76673,0.77255,0.67111,0.9131
185,0.65686,0.6496,0.55063,0.57014,0.76386,0.26162,0.73205,0.75166,0.76673,0.75729,0.67111,0.9131
186,0.66933,0.64997,0.55089,0.57043,0.76444,0.28911,0.72649,0.75166,0.76673,0.75729,0.67111,0.89862
187,0.66971,0.65035,0.57003,0.57071,0.76502,0.28913,0.72649,0.75166,0.75893,0.75729,0.67111,0.89862
188,0.66952,0.65072,0.56982,0.57079,0.7656,0.28914,0.72587,0.75166,0.75828,0.75663,0.67111,0.89862
189,0.6699,0.67025,0.57038,0.57057,0.78064,0.28915,0.72587,0.747,0.75828,0.75597,0.66711,0.89862
190,0.68939,0.67065,0.57017,0.57086,0.78125,0.28916,0.71968,0.747,0.75763,0.75597,0.66711,0.89862
191,0.69021,0.67105,0.57045,0.58753,0.78186,0.28918,0.71968,0.747,0.75763,0.75,0.66711,0.89862
192,0.70762,0.68901,0.57073,0.58784,0.78668,0.28924,0.71287,0.73901,0.75763,0.75,0.66177,0.89862
193,0.72377,0.68944,0.57101,0.58845,0.78634,0.28925,0.70854,0.73901,0.75763,0.75,0.66044,0.89862
194,0.72423,0.68905,0.57157,0.60521,0.78696,0.28928,0.70854,0.73768,0.75763,0.74005,0.66044,0.89862
195,0.72468,0.68886,0.59284,0.60553,0.78759,0.2893,0.70854,0.73702,0.75309,0.74005,0.66044,0.89862
196,0.73592,0.70115,0.59314,0.60586,0.79627,0.28932,0.70359,0.73103,0.75309,0.74005,0.65444,0.89862
197,0.751,0.70205,0.59375,0.60619,0.79691,0.28938,0.69802,0.73103,0.75309,0.74005,0.65444,0.89849
198,0.75083,0.71608,0.59436,0.60652,0.80712,0.28941,0.6974,0.72037,0.75309,0.74005,0.65043,0.89849
199,0.76269,0.71656,0.59466,0.62789,0.80846,0.28943,0.68812,0.72037,0.75309,0.7374,0.65043,0.89849
200,0.76236,0.71703,0.59527,0.62768,0.81695,0.28945,0.68688,0.72037,0.75309,0.73674,0.6431,0.89849
201,0.76289,0.71798,0.61105,0.62747,0.82312,0.28967,0.68688,0.72037,0.74724,0.73607,0.63642,0.89849
202,0.77266,0.71846,0.6117,0.62762,0.82383,0.28969,0.67512,0.72037,0.74724,0.73541,0.63642,0.89849
203,0.77376,0.73247,0.6115,0.62797,0.82996,0.28972,0.67512,0.71638,0.74659,0.73541,0.62842,0.89849
204,0.78365,0.73297,0.61182,0.62833,0.82981,0.28973,0.67017,0.71638,0.74659,0.73541,0.62775,0.89849
205,0.79762,0.73347,0.61247,0.62868,0.82966,0.28989,0.66337,0.71638,0.74659,0.73541,0.62708,0.89849
206,0.80655,0.7427,0.63773,0.64471,0.82951,0.2899,0.65532,0.71105,0.74464,0.72679,0.62642,0.89849
207,0.80716,0.74322,0.63808,0.64509,0.82935,0.28992,0.65532,0.71105,0.74464,0.72679,0.62575,0.89849
208,0.81804,0.75412,0.63915,0.64547,0.83542,0.29,0.65099,0.7004,0.74464,0.72679,0.62308,0.89836
209,0.81776,0.75466,0.63951,0.64585,0.84461,0.29003,0.64975,0.7004,0.74464,0.72679,0.61641,0.89836
210,0.81839,0.76713,0.64022,0.64564,0.85568,0.29007,0.64975,0.69308,0.74464,0.72613,0.61308,0.89836
211,0.82723,0.7677,0.65396,0.64602,0.85648,0.29009,0.64295,0.69308,0.73554,0.72613,0.61308,0.89836
212,0.82789,0.78165,0.65471,0.66463,0.85808,0.2901,0.64295,0.68642,0.73554,0.72149,0.61308,0.89836
213,0.82775,0.78927,0.65547,0.66544,0.85888,0.29011,0.64233,0.67577,0.73554,0.72149,0.61308,0.89836
214,0.83577,0.78911,0.65527,0.66585,0.86762,0.29013,0.63614,0.6751,0.73489,0.72149,0.60774,0.89836
215,0.8459,0.78894,0.67206,0.68424,0.86845,0.29014,0.63181,0.67443,0.7284,0.71419,0.60774,0.89836
216,0.85654,0.79888,0.67247,0.68404,0.87091,0.31737,0.62809,0.66644,0.7284,0.71353,0.60307,0.8827
217,0.86454,0.79952,0.67287,0.69751,0.87078,0.31738,0.62005,0.66644,0.7284,0.70491,0.6024,0.8827
218,0.87063,0.79936,0.67327,0.69796,0.87683,0.3174,0.61634,0.66578,0.7284,0.70491,0.5984,0.8827
219,0.87801,0.81127,0.67308,0.69842,0.87769,0.31741,0.61015,0.66112,0.72775,0.70491,0.5984,0.8827
220,0.87957,0.82481,0.67329,0.69803,0.88446,0.31743,0.61015,0.65513,0.7271,0.70358,0.59239,0.8827
