model,accuracy,precision,recall,f1
rf_std,0.9849261725580127,0.9373587736153601,0.5864339296063947,0.7213712943734992
rf_no_h3me,0.9848784148042897,0.9312998985769934,0.5893047094385527,0.7217083416603114
rf_est1000,0.9847047518731697,0.9380038946396535,0.5788440810022807,0.7157360282910453
svm_std,0.9667698523568025,0.8,0.001288794687346256,0.002572704316812347
mlp_std,0.9668480011941554,0.5704943130475046,0.015373418165837913,0.029734985852463723
mlp_2hl,0.9672083459094614,0.5920202995946553,0.05702070609552381,0.10110478043092168
