,kf_1,kf_2,kf_3,kf_4,kf_5,mean_fpr,mean_tpr,std_tpr,tprs_upper,tprs_lower
60,0.99159,0.99275,0.99183,0.9928,0.99236,0.60606,0.99227,0.00048,0.99275,0.99179
61,0.99181,0.99293,0.99204,0.99298,0.99256,0.61616,0.99246,0.00047,0.99293,0.992
62,0.99203,0.99312,0.99225,0.99316,0.99276,0.62626,0.99266,0.00046,0.99312,0.99221
63,0.99224,0.9933,0.99246,0.99335,0.99295,0.63636,0.99286,0.00044,0.99331,0.99242
64,0.99246,0.99349,0.99267,0.99353,0.99315,0.64646,0.99306,0.00043,0.99349,0.99263
65,0.99267,0.99368,0.99288,0.99372,0.99334,0.65657,0.99326,0.00042,0.99368,0.99284
66,0.99289,0.99386,0.99309,0.9939,0.99354,0.66667,0.99346,0.00041,0.99386,0.99305
67,0.9931,0.99405,0.9933,0.99409,0.99373,0.67677,0.99365,0.00039,0.99405,0.99326
68,0.99332,0.99423,0.99351,0.99427,0.99393,0.68687,0.99385,0.00038,0.99424,0.99347
69,0.99353,0.99442,0.99372,0.99446,0.99413,0.69697,0.99405,0.00037,0.99442,0.99368
70,0.99375,0.99461,0.99393,0.99464,0.99432,0.70707,0.99425,0.00036,0.99461,0.99389
71,0.99397,0.99479,0.99414,0.99483,0.99452,0.71717,0.99445,0.00035,0.99479,0.9941
72,0.99418,0.99498,0.99435,0.99501,0.99471,0.72727,0.99465,0.00033,0.99498,0.99431
73,0.9944,0.99516,0.99455,0.9952,0.99491,0.73737,0.99484,0.00032,0.99517,0.99452
74,0.99461,0.99535,0.99476,0.99538,0.9951,0.74747,0.99504,0.00031,0.99535,0.99473
75,0.99483,0.99554,0.99497,0.99557,0.9953,0.75758,0.99524,0.0003,0.99554,0.99494
76,0.99504,0.99572,0.99518,0.99575,0.9955,0.76768,0.99544,0.00028,0.99572,0.99516
77,0.99526,0.99591,0.99539,0.99594,0.99569,0.77778,0.99564,0.00027,0.99591,0.99537
78,0.99547,0.99609,0.9956,0.99612,0.99589,0.78788,0.99584,0.00026,0.99609,0.99558
79,0.99569,0.99628,0.99581,0.99631,0.99608,0.79798,0.99603,0.00025,0.99628,0.99579
80,0.99591,0.99647,0.99602,0.99649,0.99628,0.80808,0.99623,0.00023,0.99647,0.996
81,0.99612,0.99665,0.99623,0.99667,0.99648,0.81818,0.99643,0.00022,0.99665,0.99621
82,0.99634,0.99684,0.99644,0.99686,0.99667,0.82828,0.99663,0.00021,0.99684,0.99642
83,0.99655,0.99702,0.99665,0.99704,0.99687,0.83838,0.99683,0.0002,0.99702,0.99663
84,0.99677,0.99721,0.99686,0.99723,0.99706,0.84848,0.99703,0.00019,0.99721,0.99684
85,0.99698,0.9974,0.99707,0.99741,0.99726,0.85859,0.99722,0.00017,0.9974,0.99705
86,0.9972,0.99758,0.99728,0.9976,0.99745,0.86869,0.99742,0.00016,0.99758,0.99726
87,0.99741,0.99777,0.99749,0.99778,0.99765,0.87879,0.99762,0.00015,0.99777,0.99747
88,0.99763,0.99795,0.9977,0.99797,0.99785,0.88889,0.99782,0.00014,0.99795,0.99768
89,0.99784,0.99814,0.99791,0.99815,0.99804,0.89899,0.99802,0.00012,0.99814,0.99789
90,0.99806,0.99833,0.99812,0.99834,0.99824,0.90909,0.99822,0.00011,0.99833,0.9981
91,0.99828,0.99851,0.99832,0.99852,0.99843,0.91919,0.99841,0.0001,0.99851,0.99831
92,0.99849,0.9987,0.99853,0.99871,0.99863,0.92929,0.99861,9e-05,0.9987,0.99853
93,0.99871,0.99888,0.99874,0.99889,0.99883,0.93939,0.99881,7e-05,0.99888,0.99874
94,0.99892,0.99907,0.99895,0.99908,0.99902,0.94949,0.99901,6e-05,0.99907,0.99895
95,0.99914,0.99926,0.99916,0.99926,0.99922,0.9596,0.99921,5e-05,0.99926,0.99916
96,0.99935,0.99944,0.99937,0.99945,0.99941,0.9697,0.99941,4e-05,0.99944,0.99937
97,0.99957,0.99963,0.99958,0.99963,0.99961,0.9798,0.9996,2e-05,0.99963,0.99958
98,0.99978,0.99981,0.99979,0.99982,0.9998,0.9899,0.9998,1e-05,0.99981,0.99979
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
