,0,1,2,3,4
accuracy,0.9834091630515289,0.9850174584700032,0.984869325997249,0.9851655909427574,0.9846577081790286
precision,0.9227642276422764,0.9223404255319149,0.9265010351966874,0.9362162162162162,0.9134615384615384
recall,0.5618811881188119,0.5772303595206392,0.5815464587394412,0.5742705570291777,0.5703802535023349
f1,0.6984615384615386,0.7100737100737102,0.7145708582834331,0.7118783394985615,0.7022587268993841
