Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.9599293342969566,0.7643489960846664,0.7643489960846664,0.9565575550732922,272.7832567691803
LGBMClassifier,0.9594475226852968,0.7612119997959436,0.7612119997959437,0.9559686776154286,366.36910581588745
DecisionTreeClassifier,0.9298964105034931,0.7304384769735024,0.7304384769735023,0.9311906907514765,296.8000829219818
BaggingClassifier,0.9549506143098049,0.7138892844844811,0.7138892844844812,0.9490786501036849,1760.9676795005798
LogisticRegression,0.9384887175780936,0.6549860986528022,0.6549860986528022,0.9313681012275732,84.6363890171051
LinearDiscriminantAnalysis,0.9317433550148558,0.651955275497494,0.6519552754974939,0.9263590336350245,4923.3524034023285
AdaBoostClassifier,0.946679514976311,0.64669641073167,0.6466964107316701,0.936462130982312,633.1097693443298
LinearSVC,0.9392114349955833,0.6427032806329152,0.6427032806329153,0.9306307595354559,5786.491625547409
Perceptron,0.9380069059664338,0.6334211024150934,0.6334211024150933,0.9287848843241703,46.5058376789093
PassiveAggressiveClassifier,0.9229101421344255,0.6322594684328888,0.6322594684328888,0.918544924052455,57.983054399490356
SGDClassifier,0.9257207098691078,0.6210930093653418,0.6210930093653417,0.9192259641324608,1022.7077753543854
ExtraTreeClassifier,0.8984983538103268,0.5898370311483703,0.5898370311483704,0.8993016353184504,34.29235577583313
CalibratedClassifierCV,0.940656869830563,0.5749470197127055,0.5749470197127056,0.9226237373440883,24219.12123131752
BernoulliNB,0.38151449449931746,0.5650667540991969,0.5650667540991969,0.49264836657807937,58.12528109550476
KNeighborsClassifier,0.9408174737011162,0.5623636435133423,0.5623636435133423,0.9205298581175385,89.36530876159668
ExtraTreesClassifier,0.9427447201477556,0.5610906287064945,0.5610906287064945,0.921431621382508,292.3669581413269
NearestCentroid,0.297920179876335,0.5497390840415085,0.5497390840415085,0.39167572584824895,45.45949101448059
RandomForestClassifier,0.940415964024733,0.5431450841520391,0.5431450841520391,0.9165332891543444,224.76584219932556
GaussianNB,0.20099574399743034,0.5416807664021018,0.5416807664021018,0.25177531362172434,50.72009539604187
LabelSpreading,0.9365614711314543,0.5140179888534152,0.5140179888534152,0.9079948202301059,381.0411603450775
LabelPropagation,0.9365614711314543,0.5140179888534152,0.5140179888534152,0.9079948202301059,254.4490578174591
RidgeClassifier,0.9361599614550711,0.5138033044395036,0.5138033044395036,0.9077729280772578,65.13157534599304
SVC,0.936400867260901,0.5104768650974157,0.5104768650974156,0.9070304966076694,20845.94514131546
RidgeClassifierCV,0.9355978479081346,0.5083198712743752,0.5083198712743752,0.9061550731197482,4929.030906677246
DummyClassifier,0.9351160362964748,0.5,0.5,0.9037618260994645,29.645432949066162
QuadraticDiscriminantAnalysis,0.9348751304906449,0.4998711893516531,0.4998711893516531,0.9036414936346593,5276.947749614716
