FBtr0309810.1	77
FBtr0309810	77
FBtr0309810.2	3
FBtr0347585	214
FBtr0347585.1	214
FBtr0345732	3
FBtr0345732.1	3
FBtr0345733	21
FBtr0345733.1	21
FBtr0344032.1	211
FBtr0344032	211
FBtr0344032.2	15
FBtr0344032.3	51
FBtr0336836	7
FBtr0336836.1	7
FBtr0336837.1	16
FBtr0336837	16
FBtr0336837.2	28
FBtr0336984	69
FBtr0336984.1	69
FBtr0336985	46
FBtr0336985.1	46
FBtr0336986	63
FBtr0336986.1	63
FBtr0336987	94
FBtr0336987.1	94
FBtr0336988.1	51
FBtr0336988	51
FBtr0336988.2	1
FBtr0347594	85
FBtr0347594.1	85
FBtr0347595.1	296
FBtr0347595	296
FBtr0347595.2	102
FBtr0345774	67
FBtr0345774.1	67
FBtr0345775	422
FBtr0345775.1	422
FBtr0329831	66
FBtr0329831.1	66
FBtr0329833	4
FBtr0329833.1	4
FBtr0347589	28097
FBtr0347589.1	28097
FBtr0347590	28
FBtr0347590.1	28
FBtr0347397.1	3274
FBtr0347397	3274
FBtr0445834.1	3274
FBtr0445834	3274
FBtr0347397.2	11
FBtr0445834.2	11
FBtr0343219	120
FBtr0343219.1	120
FBtr0343248	33
FBtr0343248.1	33
FBtr0345777	3
FBtr0345777.1	3
FBtr0344054.1	18
FBtr0344054	18
FBtr0344054.2	4
FBtr0342660	24
FBtr0342660.1	24
FBtr0345453	67
FBtr0345453.1	67
FBtr0334793	101
FBtr0334793.1	101
FBtr0445831	3429
FBtr0445831.1	3429
FBtr0345455	22
FBtr0345455.1	22
FBtr0479958.1	2
FBtr0479958	2
FBtr0479958.2	5
FBtr0479958.3	1
FBtr0346497	269
FBtr0346497.1	269
FBtr0343840	23
FBtr0343840.1	23
FBtr0334819.1	26
FBtr0334819	26
FBtr0334819.2	3
FBtr0334819.3	4
FBtr0344040.1	66
FBtr0344040	66
FBtr0344040.2	5
FBtr0334825	77
FBtr0334825.1	77
FBtr0304139.1	2
FBtr0304139	2
FBtr0304139.2	5
FBtr0309284.1	500
FBtr0309284	500
FBtr0309284.2	1
FBtr0309284.3	9
FBtr0309284.4	1
FBtr0309284.5	3
FBtr0346492	2
FBtr0346492.1	2
FBtr0343304	14
FBtr0343304.1	14
FBtr0334780.1	378
FBtr0334780	378
FBtr0334780.2	2
FBtr0334810.1	1157
FBtr0334810	1157
FBtr0334810.2	4
FBtr0334811	92
FBtr0334811.1	92
FBtr0335158	31
FBtr0335158.1	31
FBtr0304029.1	1774
FBtr0309033.1	1774
FBtr0335160.1	1774
FBtr0304029	1774
FBtr0309033	1774
FBtr0335160	1774
FBtr0304029.2	5
FBtr0335160.2	5
FBtr0309033.2	5
FBtr0347298.1	11
FBtr0347298	11
FBtr0347298.2	5
FBtr0335165	2
FBtr0335165.1	2
FBtr0452192	31
FBtr0452192.1	31
FBtr0332511	84
FBtr0332511.1	84
FBtr0332217	531
FBtr0332217.1	531
FBtr0345729	9
FBtr0345729.1	9
FBtr0340586	50
FBtr0340586.1	50
FBtr0340588	12
FBtr0340588.1	12
FBtr0343236	1
FBtr0343236.1	1
FBtr0345781	9
FBtr0345781.1	9
FBtr0345782.1	167
FBtr0345782	167
FBtr0333249.1	553
FBtr0333249	553
FBtr0333249.2	5
FBtr0345782.2	5
FBtr0345565	1
FBtr0345565.1	1
FBtr0345566	2
FBtr0345566.1	2
FBtr0339568.1	358
FBtr0339568	358
FBtr0339568.2	4
FBtr0339569.1	106
FBtr0339569	106
FBtr0339569.2	2
FBtr0332221	1
FBtr0332221.1	1
FBtr0339570	37
FBtr0339570.1	37
FBtr0339573	1135
FBtr0339573.1	1135
FBtr0334830	8
FBtr0334830.1	8
FBtr0334831	42
FBtr0334831.1	42
FBtr0345955.1	23
FBtr0345955	23
FBtr0345955.2	2
FBtr0345740	67
