FBtr0070634.1	-123714
FBtr0070634	-123714
FBtr0070635.1	-174060
FBtr0070635	-174060
FBtr0070635.2	-11619
FBtr0071016.1	-2947
FBtr0071016.2	-6
FBtr0071016	-2947
FBtr0071016.3	-60
FBtr0073162.1	15
FBtr0073162	15
FBtr0073514.1	37647
FBtr0073514.2	37
FBtr0073514	37647
FBtr0073515.1	37647
FBtr0073515	37647
FBtr0073593.1	-18
FBtr0073593	-18
FBtr0073593.2	-11
FBtr0073593.3	-10
FBtr0073593.4	-2
FBtr0073625.1	93
FBtr0073625.2	8
FBtr0073625.3	4
FBtr0073625	93
FBtr0073626.1	20864
FBtr0073626	20864
FBtr0073626.2	43
FBtr0073626.3	68
FBtr0073626.4	13
FBtr0073627.1	20864
FBtr0073627	20864
FBtr0073627.2	43
FBtr0073627.3	68
FBtr0073627.4	13
FBtr0073628.1	20864
FBtr0073628	20864
FBtr0073628.2	43
FBtr0073628.3	68
FBtr0073628.4	13
FBtr0075000.1	-6221
FBtr0075000.2	-4
FBtr0075000.3	-2
FBtr0075000	-6221
FBtr0076899.1	7
FBtr0076899.2	12
FBtr0076899.3	7
FBtr0076899	7
FBtr0079906.1	-15544
FBtr0079906	-15544
FBtr0079906.2	-65
FBtr0079906.3	-41
FBtr0079906.4	-48
FBtr0079906.5	-129
FBtr0081385.1	67533
FBtr0081385.2	7
FBtr0081385.3	13
FBtr0081385.4	78
FBtr0081385	67533
FBtr0081624.1	63
FBtr0081624	63
FBtr0082678	
FBtr0082678.1	
FBtr0082678.2	
FBtr0083341.1	-92738
FBtr0083341.2	-5
FBtr0083341.3	-4
FBtr0083341	-92738
FBtr0083342.1	-92738
FBtr0083342.2	-5
FBtr0083342.3	-3
FBtr0083342	-92738
FBtr0083343.1	-5
FBtr0083343.2	-8
FBtr0083343.3	-3
FBtr0083343	-5
FBtr0083344.1	-3
FBtr0083344.2	-3
FBtr0083344	-3
FBtr0083362.1	2
FBtr0083362	2
FBtr0083362.2	5
FBtr0083362.3	4
FBtr0083363.1	2
FBtr0083363	2
FBtr0083363.2	5
FBtr0083363.3	4
FBtr0084057.1	99999
FBtr0084057.2	196
FBtr0084057	99999
FBtr0084058.1	99999
FBtr0084058	99999
FBtr0084059.1	99999
FBtr0084059	99999
FBtr0085007.1	527
FBtr0085007.2	2
FBtr0085007.3	3
FBtr0085007	527
FBtr0085391.1	41459
FBtr0085391	41459
FBtr0085775.1	-1881
FBtr0085775	-1881
FBtr0086842.10	7
FBtr0086842.11	5
FBtr0086842.12	9
FBtr0086842.13	11
FBtr0086842.14	49
FBtr0086842.15	36
FBtr0086842.16	79
FBtr0086842.17	24
FBtr0086842.1	75858
FBtr0086842.2	35
FBtr0086842.3	76
FBtr0086842.4	197
FBtr0086842.5	10
FBtr0086842.6	11
FBtr0086842	75858
FBtr0086842.7	9
FBtr0086842.8	24
FBtr0086842.9	18
FBtr0088361.1	-523175
FBtr0088361.2	-33
FBtr0088361	-523175
FBtr0091636.1	-63
FBtr0091636	-63
FBtr0091638.1	-112
FBtr0091638	-112
FBtr0091639.1	-44
FBtr0091639	-44
FBtr0091662.1	-172333
FBtr0091662	-172333
FBtr0091663.1	-149
FBtr0091663	-149
FBtr0091665.1	-42115
FBtr0091665	-42115
FBtr0091687.1	-970
FBtr0091687	-970
FBtr0091693.1	-2558
FBtr0091693	-2558
FBtr0091695.1	-3
FBtr0091695	-3
FBtr0091699.1	-9
FBtr0091699.2	-4
FBtr0091699	-9
FBtr0091700.1	-179
FBtr0091700	-179
FBtr0091725	
FBtr0091725.1	
FBtr0091726	
FBtr0091726.1	
FBtr0091727	
FBtr0091727.1	
FBtr0091728	
FBtr0091728.1	
FBtr0091729	
FBtr0091729.1	
FBtr0091730	
FBtr0091730.1	
FBtr0091731	
FBtr0091731.1	
FBtr0091732	
FBtr0091732.1	
FBtr0091733	
FBtr0091733.1	
FBtr0091734	
FBtr0091734.1	
FBtr0091735	
FBtr0091735.1	
FBtr0091736	
FBtr0091736.1	
FBtr0091737	
FBtr0091737.1	
FBtr0091738	
FBtr0091738.1	
FBtr0091739	
FBtr0091739.1	
FBtr0091740	
FBtr0091740.1	
FBtr0091741	
FBtr0091741.1	
FBtr0091742	
FBtr0091742.1	
FBtr0091743	
FBtr0091743.1	
FBtr0091744	
FBtr0091744.1	
FBtr0091750.1	16
FBtr0091750	16
FBtr0091790.1	28
FBtr0091790	28
FBtr0091797.1	1865
FBtr0091797	1865
FBtr0091919.1	83
FBtr0091919	83
FBtr0091920.1	47
FBtr0091920	47
FBtr0091921.1	19
FBtr0091921	19
FBtr0091948.1	-32965
FBtr0091948.2	-16
FBtr0091948	-32965
FBtr0091953.1	972
FBtr0091953.2	8
FBtr0091953	972
FBtr0091956.1	8
FBtr0091956.2	5
FBtr0091956	8
FBtr0091959.1	5947
FBtr0091959	5947
FBtr0100004.1	99999
FBtr0100004	99999
FBtr0100032.1	7817
FBtr0100032	7817
FBtr0100850.1	-24
FBtr0100850	-24
FBtr0111044	11
FBtr0111044.1	11
FBtr0111044.2	99999
FBtr0111045	11
FBtr0111045.1	11
FBtr0111045.2	99999
FBtr0111046	11
FBtr0111046.1	11
FBtr0114267	-1
FBtr0114267.1	-1
FBtr0114267.2	-1
FBtr0114267.3	-1
FBtr0300135	
FBtr0300135.1	
FBtr0300136	
FBtr0300136.1	
FBtr0300137	
FBtr0300137.1	
FBtr0300140	
FBtr0300140.1	
FBtr0300143	
FBtr0300143.1	
FBtr0300144	
FBtr0300144.1	
FBtr0300145	
FBtr0300145.1	
FBtr0300148	
FBtr0300148.1	
FBtr0300149	
FBtr0300149.1	
FBtr0300151	
FBtr0300151.1	
FBtr0300152	
FBtr0300152.1	
FBtr0300153	
FBtr0300153.1	
FBtr0300154	
FBtr0300154.1	
FBtr0300155	
FBtr0300155.1	
FBtr0300156	
FBtr0300156.1	
FBtr0300157	
FBtr0300157.1	
FBtr0300158.1	-2
FBtr0300158	-2
FBtr0300159	
FBtr0300159.1	
FBtr0300230.1	13989
FBtr0300230	13989
FBtr0300230.2	40
FBtr0300230.3	44
FBtr0300230.4	63
FBtr0300230.5	22
FBtr0300230.6	71
FBtr0300230.7	19
FBtr0300230.8	12
FBtr0300231.10	147
FBtr0300231.11	118
FBtr0300231.12	181
FBtr0300231.1	41772
FBtr0300231.2	148
FBtr0300231.3	52
FBtr0300231	41772
FBtr0300231.4	21
FBtr0300231.5	10
FBtr0300231.6	16
FBtr0300231.7	15
FBtr0300231.8	13
FBtr0300231.9	30
FBtr0300232.1	-1203
FBtr0300232	-1203
FBtr0300232.2	-26
FBtr0300232.3	-17
FBtr0300232.4	-15
FBtr0300232.5	-23
FBtr0300233.1	42106
FBtr0300233.2	6
FBtr0300233.3	12
FBtr0300233	42106
FBtr0300233.4	4
FBtr0300233.5	16
FBtr0300249.1	67533
FBtr0300249.2	13
FBtr0300249.3	3
FBtr0300249.4	78
FBtr0300249	67533
FBtr0300250.1	67533
FBtr0300250.2	7
FBtr0300250.3	13
FBtr0300250.4	3
FBtr0300250.5	78
FBtr0300250	67533
FBtr0300251.10	118
FBtr0300251.11	181
FBtr0300251.1	41772
FBtr0300251.2	148
FBtr0300251.3	52
FBtr0300251.4	10
FBtr0300251	41772
FBtr0300251.5	16
FBtr0300251.6	15
FBtr0300251.7	13
FBtr0300251.8	30
FBtr0300251.9	147
FBtr0300446.1	-642
FBtr0300446.2	-302
FBtr0300446	-642
FBtr0301176.1	-70026
FBtr0301176.2	-88
FBtr0301176	-70026
FBtr0301177.1	-25
FBtr0301177.2	-2
FBtr0301177	-25
FBtr0301177.3	-7
FBtr0301248.1	-82656
FBtr0301248.2	-88
FBtr0301248	-82656
FBtr0301249.1	-70026
FBtr0301249.2	-88
FBtr0301249	-70026
FBtr0301250.1	-70026
FBtr0301250.2	-88
FBtr0301250	-70026
FBtr0302336	
FBtr0302336.1	
FBtr0302348	
FBtr0302348.1	
FBtr0302349.1	12
FBtr0302349	12
FBtr0302350.1	200
FBtr0302350	200
FBtr0302350.2	154
FBtr0302350.3	62
FBtr0302350.4	15
FBtr0302350.5	3
FBtr0302350.6	4
FBtr0302350.7	3
FBtr0302350.8	3
FBtr0302365.1	516
FBtr0302365	516
FBtr0302398.1	-46
FBtr0302398	-46
FBtr0303008.1	3586
FBtr0303008.2	8
FBtr0303008.3	138
FBtr0303008	3586
FBtr0303196.1	78
FBtr0303196.2	3
FBtr0303196	78
FBtr0303209.1	421
FBtr0303209.2	25
FBtr0303209	421
FBtr0303211.1	-40
FBtr0303211.2	-12
FBtr0303211	-40
FBtr0303212.1	-40
FBtr0303212.2	-12
FBtr0303212.3	-1
FBtr0303212	-40
FBtr0303213.1	214
FBtr0303213.2	1
FBtr0303213	214
FBtr0303213.3	2
FBtr0303215.1	4
FBtr0303215.2	4
FBtr0303215	4
FBtr0303300.1	-311
FBtr0303300	-311
FBtr0303397.1	-3669
FBtr0303397.2	-34
FBtr0303397	-3669
FBtr0303426.1	41459
FBtr0303426.2	186
FBtr0303426.3	29
FBtr0303426	41459
FBtr0303427.1	41459
FBtr0303427.2	186
FBtr0303427.3	29
FBtr0303427	41459
FBtr0303450.1	-523175
FBtr0303450.2	-33
