"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"TCONS_00008597",0.162960731663757,0.190673713600908,1.94653495959928,11.3724935684382,1,2.14874259899867,2.27449871368764,0.805865331359665,1.46863338232798,6.09046125139932,6.09046125139932
"TCONS_00022265",0.163222984849986,0.190882197837699,1.94410986981008,21.1537281677984,1,2.87490843561083,4.23074563355968,0.356870318071615,3.87387531548806,6.16684172900913,6.16684172900913
"TCONS_00032786",0.163221431044856,0.190882197837699,1.94412422494711,23.6086570305181,1,3.47884318618369,4.72173140610362,0.386463461210663,4.33526794489296,5.39023033679725,5.39023033679725
"TCONS_00015849",0.163642938972714,0.191324043737151,1.94023575048081,28.5597156071403,1,5.6051140716071,5.71194312142806,0.97447963857884,4.73746348284922,0.841730194139857,4.73746348284922
"TCONS_00021050",0.163732325940487,0.191379277244724,1.9394126122292,2.47273181297876,1,4.78738132850878,0.494546362595751,1.37486043273074,-0.880314070134989,2.17330291820742,2.17330291820742
"TCONS_00066664",0.164135137439494,0.191800735746974,1.9357095980892,0.657849141747872,1,6.94860163926419,0.131569828349574,0.00107579624319176,0.130494032106383,0.296948126496475,0.296948126496475
"TCONS_00034980",0.16450655661337,0.19218530321104,1.93230436062252,1.84422319373624,1,5.99938397166867,0.368844638747247,0.00283326107419036,0.366011377673057,0.579989093598906,0.579989093598906
"TCONS_00005718",0.165633614975457,0.193402480227192,1.92202484004879,23.5884943085728,1,3.53900647766984,4.71769886171456,1.86604961076779,2.85164925094677,5.27815393778938,5.27815393778938
"TCONS_00007559",0.165592778469425,0.193402480227192,1.92239589791702,43.8199554592905,1,5.21953460036708,8.7639910918581,0.462053405166285,8.30193768669181,1.33115854616696,8.30193768669181
"TCONS_00060748",0.166390344370292,0.194236132078533,1.91516775361255,35.1459377212885,1,4.60579252695451,7.02918754425771,0.0204331425285891,7.00875440172912,2.55119752122636,7.00875440172912
"TCONS_00035865",0.167386063083967,0.195348268430813,1.90619925823337,4.31954816245007,1,5.34287725298198,0.863909632490015,1.80221113771831,-0.938301505228292,1.14213568471523,1.14213568471523
"TCONS_00014184",0.167668440674814,0.195577289777634,1.90366698294351,70.9671726751977,1,6.92867292847257,14.1934345350395,0.00149729695278444,14.1919372380867,0.300075337984201,14.1919372380867
"TCONS_00029953",0.167646205518577,0.195577289777634,1.9038662037221,58.1481637169253,1,2.35586139426014,11.6296327433851,1.21680862234692,10.4128241210381,6.23053261596758,10.4128241210381
"TCONS_00020177",0.16788009500953,0.195773885834175,1.90177213332669,12.3552703043695,1,6.33227453480623,2.47105406087391,1.01557192819322,1.45548213268069,0.440821100743483,1.45548213268069
"TCONS_00001807",0.168374424315628,0.196299938592366,1.89735725930375,52.5763937351982,1,5.78741095612775,10.5152787470396,0.0480438423772714,10.4672349046624,0.702252054978147,10.4672349046624
"TCONS_00068205",0.168724671673764,0.196657785952403,1.89423816923521,6.2837144525473,1,4.79148985208902,1.25674289050946,1.00551006460356,0.251232825905901,2.16472625227537,2.16472625227537
"TCONS_00059839",0.169315823088131,0.197296164393944,1.88899053635711,34.3879804723195,1,4.6466064262517,6.8775960944639,0.364020638595923,6.51357545586798,2.46341376782398,6.51357545586798
"TCONS_00035065",0.169570503881005,0.197542241694111,1.88673621583398,1.05849266063603,1,6.30164123055137,0.211698532127206,0.0393493740243206,0.172349158102886,0.451366935650304,0.451366935650304
"TCONS_00001960",0.169763628436991,0.197716500829027,1.88502935157188,1.69952334341905,1,6.5893141476609,0.339904668683808,0.0430117134270224,0.296892955256787,0.368472240485359,0.368472240485359
"TCONS_00020175",0.169901551866794,0.197826396673618,1.88381172645371,1.4068413289758,1,6.67177167614329,0.28136826579516,0.00745800668158242,0.273910259113577,0.349683801500051,0.349683801500051
